"FILE_NAME","SOURCE","BOAT_ID","TRIP_ID","DATE_TIME","LONGITUDE","LATITUDE","GEAR","PASSIVE_ACTIVE","STATUS","SPEED","COURSE","HEADING","QUALITY"
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 04:58:20,-7.817916667,37.02786667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 04:58:40,-7.81725,37.02795,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 04:59:00,-7.816583333,37.02785,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 04:59:20,-7.815916667,37.02771667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 04:59:40,-7.815233333,37.02766667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:00:00,-7.814583333,37.02753333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:00:20,-7.813933333,37.02738333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:00:40,-7.8133,37.02721667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:01:00,-7.812666667,37.02703333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:01:20,-7.812033333,37.02683333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:01:40,-7.81145,37.02655,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:02:00,-7.810933333,37.02618333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:02:20,-7.810516667,37.02576667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:02:40,-7.810466667,37.02523333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:03:00,-7.810466667,37.02468333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:03:20,-7.810483333,37.02415,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:03:40,-7.810416667,37.02363333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:04:00,-7.810466667,37.0231,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:04:20,-7.810466667,37.02256667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:04:40,-7.81045,37.02203333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:05:00,-7.810433333,37.0215,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:05:20,-7.810383333,37.02098333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:05:40,-7.81035,37.02046667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:06:00,-7.810266667,37.01995,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:06:20,-7.81025,37.01941667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:06:40,-7.810233333,37.0189,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:07:00,-7.810116667,37.01838333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:07:20,-7.809866667,37.01791667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:07:40,-7.809633333,37.01741667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:08:00,-7.809466667,37.01691667,"FPO","Passive","not_fishing",10,NA,NA,NA
